ROW,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
125998,G29018303119071,291833119071,53,3
125999,G29018303119072,291833119072,76,6
126000,G29018303119073,291833119073,59,4
126001,G29018303119074,291833119074,62,4
126002,G29018303119081,291833119081,26,1
126003,G29018303119091,291833119091,26,1
126004,G29018303119092,291833119092,22,1
126005,G29018303120011,291833120011,24,1
126006,G29018303120012,291833120012,24,1
126007,G29018303120021,291833120021,43,2
126008,G29018303120022,291833120022,39,2
126009,G29018303120031,291833120031,36,1
126010,G29018303120032,291833120032,32,1
126011,G29018303120941,291833120941,45,2
126012,G29018303120942,291833120942,44,2
126013,G29018303120951,291833120951,81,7
126014,G29018303120952,291833120952,32,1
126015,G29018303120953,291833120953,35,1
126016,G29018303120961,291833120961,38,2
126017,G29018303120962,291833120962,41,2
126018,G29018303120963,291833120963,35,1
126019,G29018303121921,291833121921,43,2
126020,G29018303121922,291833121922,29,1
126021,G29018303121931,291833121931,34,1
126022,G29018303121932,291833121932,41,2
126023,G29018303121933,291833121933,35,1
126024,G29018303121941,291833121941,36,1
126025,G29018303121942,291833121942,34,1
126026,G29018303121951,291833121951,71,5
126027,G29018303121952,291833121952,69,5
126028,G29018303122041,291833122041,31,1
126029,G29018303122042,291833122042,27,1
126030,G29018303122043,291833122043,15,1
126031,G29018303122044,291833122044,21,1
126032,G29018303122061,291833122061,27,1
126033,G29018303122062,291833122062,20,1
126034,G29018303122071,291833122071,60,4
126035,G29018303122072,291833122072,72,6
126036,G29018303122081,291833122081,28,1
126037,G29018303122082,291833122082,30,1
126038,G29018303122083,291833122083,36,1
126039,G29018303122091,291833122091,19,1
126040,G29018303122092,291833122092,18,1
126041,G29018303123001,291833123001,31,1
126042,G29018303123002,291833123002,34,1
126043,G29018303124001,291833124001,100,10
126044,G29018303124002,291833124002,71,5
126045,G29018303124003,291833124003,74,6
126046,G29018309800001,291839800001,PH,PH
126047,G29018504801001,291854801001,87,8
126048,G29018504801002,291854801002,94,9
126049,G29018504801003,291854801003,89,9
126050,G29018504801004,291854801004,91,9
126051,G29018504802001,291854802001,79,7
126052,G29018504802002,291854802002,79,7
126053,G29018504802003,291854802003,76,6
126054,G29018504803001,291854803001,87,8
126055,G29018504803002,291854803002,80,7
126056,G29018504803003,291854803003,81,7
126057,G29018609601011,291869601011,60,4
126058,G29018609601012,291869601012,74,6
126059,G29018609601013,291869601013,65,5
